2017-08-29 00:00:00,2.0,5.0,2.0,3.0,700.0
2017-08-30 00:00:00,3.0,3.0,3.0,3.0,0.0
2017-08-31 00:00:00,2.5,2.5,2.5,2.5,586.0
2017-09-01 00:00:00,2.5,2.5,1.4,1.98,4369.0
2017-09-05 00:00:00,1.5,1.95,0.51,0.51,2569.0
2017-09-06 00:00:00,1.5,2.0,1.5,2.0,693.0
2017-09-07 00:00:00,1.95,1.95,1.95,1.95,230.0
2017-09-08 00:00:00,1.95,1.95,1.95,1.95,3.0
2017-09-11 00:00:00,2.0,2.0,1.0,1.0,1258.0
2017-09-12 00:00:00,2.0,2.0,1.84,1.84,1953.0
2017-09-13 00:00:00,1.5,1.5,1.25,1.26,3157.0
2017-09-14 00:00:00,1.9,1.9,1.85,1.85,856.0
2017-09-15 00:00:00,1.85,1.85,1.85,1.85,19.0
2017-09-18 00:00:00,1.85,1.85,1.8,1.8,417.0
2017-09-19 00:00:00,1.8,1.8,1.8,1.8,0.0
2017-09-20 00:00:00,1.8,1.8,1.8,1.8,50.0
2017-09-21 00:00:00,1.8,1.8,1.8,1.8,67.0
2017-09-22 00:00:00,2.35,2.35,1.8,1.8,1301.0
2017-09-25 00:00:00,1.82,1.82,1.82,1.82,220.0
2017-09-26 00:00:00,1.82,2.0,1.82,2.0,3961.0
2017-09-27 00:00:00,2.0,2.0,1.8,1.8,1020.0
2017-09-28 00:00:00,1.8,1.8,1.8,1.8,0.0
2017-09-29 00:00:00,1.956,1.956,1.905,1.905,351.0
2017-10-02 00:00:00,2.019,2.05,1.51,1.51,1616.0
2017-10-03 00:00:00,2.15,2.75,1.75,2.73,21865.0
2017-10-04 00:00:00,2.42,2.42,2.3,2.3,1267.0
2017-10-05 00:00:00,2.08,2.08,2.08,2.08,786.0
2017-10-06 00:00:00,2.42,2.42,2.2,2.2,942.0
2017-10-09 00:00:00,2.42,3.3,2.42,3.2,25160.0
2017-10-10 00:00:00,3.23,3.25,2.83,2.83,1258.0
2017-10-11 00:00:00,3.1,3.25,2.5,2.5,3527.0
2017-10-12 00:00:00,2.99,2.99,2.95,2.95,4350.0
2017-10-13 00:00:00,3.0,4.0,2.99,3.9,43937.0
2017-10-16 00:00:00,3.9,4.25,3.51,4.25,34655.0
2017-10-17 00:00:00,4.3,5.19,4.3,5.01,21370.0
2017-10-18 00:00:00,4.75,5.0,4.5,5.0,8713.0
2017-10-19 00:00:00,5.0,5.5,3.8,5.5,9468.0
2017-10-20 00:00:00,4.93,5.5,4.93,5.5,1343.0
2017-10-23 00:00:00,5.3,5.3,4.75,5.0,4134.0
2017-10-24 00:00:00,5.0,5.0,4.76,5.0,6627.0
2017-10-25 00:00:00,4.88,4.89,4.88,4.89,1604.0
2017-10-26 00:00:00,4.89,4.89,4.88,4.89,658.0
2017-10-27 00:00:00,4.91,4.91,4.81,4.81,489.0
2017-10-30 00:00:00,4.75,5.1,4.75,5.0,10340.0
2017-10-31 00:00:00,5.0,5.0,4.0,4.0,1502.0
2017-11-01 00:00:00,4.5,5.0,4.5,5.0,2260.0
2017-11-02 00:00:00,4.85,5.0,4.816,4.85,2128.0
2017-11-03 00:00:00,5.0,5.0,4.85,5.0,2358.0
2017-11-06 00:00:00,4.85,5.0,3.0,4.5,2068.0
2017-11-07 00:00:00,4.5,4.5,2.77,3.99,1251.0
2017-11-08 00:00:00,3.51,3.51,3.3,3.4,3466.0
2017-11-09 00:00:00,3.806,3.806,3.806,3.806,123.0
2017-11-10 00:00:00,3.6,3.65,3.6,3.65,820.0
2017-11-13 00:00:00,3.69,3.69,3.64,3.64,300.0
2017-11-14 00:00:00,3.65,3.65,3.65,3.65,1310.0
2017-11-15 00:00:00,3.6,3.6,3.01,3.6,2040.0
2017-11-16 00:00:00,3.6,3.6,3.6,3.6,0.0
2017-11-17 00:00:00,3.6,3.6,3.6,3.6,234.0
2017-11-20 00:00:00,3.3,3.58,3.3,3.5,4350.0
2017-11-21 00:00:00,3.5,3.5,3.5,3.5,115.0
2017-11-22 00:00:00,3.5,3.5,3.5,3.5,286.0
2017-11-24 00:00:00,3.5,3.5,3.5,3.5,0.0
2017-11-27 00:00:00,3.39,3.49,3.39,3.49,570.0
2017-11-28 00:00:00,3.5,3.5,3.5,3.5,691.0
2017-11-29 00:00:00,3.39,3.4,3.25,3.4,1503.0
2017-11-30 00:00:00,3.2,3.3,3.2,3.3,894.0
2017-12-01 00:00:00,3.25,3.75,3.25,3.5,2280.0
2017-12-04 00:00:00,4.0,4.75,4.0,4.55,301.0
2017-12-05 00:00:00,3.75,5.0,3.75,4.5,7364.0
2017-12-06 00:00:00,4.25,4.86,4.25,4.8,4170.0
2017-12-07 00:00:00,4.4,4.8,4.26,4.74,4135.0
2017-12-08 00:00:00,4.5,4.5,4.2,4.2,1344.0
2017-12-11 00:00:00,3.66,4.8,3.66,4.8,1212.0
2017-12-12 00:00:00,3.76,4.79,3.76,4.7,1525.0
2017-12-13 00:00:00,4.7,4.7,4.7,4.7,0.0
